1.000000000000000e-03 5.085834605836393e-04
1.149756995397736e-03 5.197020379757622e-04
1.321941148466029e-03 5.326426444020952e-04
1.519911082952933e-03 5.477290256682810e-04
1.747528400007683e-03 5.653503188717827e-04
2.009233002565048e-03 5.859752361881160e-04
2.310129700083160e-03 6.101715831186201e-04
2.656087782946687e-03 6.386298082089250e-04
3.053855508833415e-03 6.721928918836484e-04
3.511191734215131e-03 7.118950190681700e-04
4.037017258596553e-03 7.590100500636508e-04
4.641588833612782e-03 8.151135909505949e-04
5.336699231206312e-03 8.821625297345047e-04
6.135907273413176e-03 9.625960838756873e-04
7.054802310718645e-03 1.059468548537260e-03
8.111308307896872e-03 1.176612565586364e-03
9.326033468832200e-03 1.318860197784591e-03
1.072267222010323e-02 1.492315592842774e-03
1.232846739442066e-02 1.704722950058475e-03
1.417474162926806e-02 1.965922392780661e-03
1.629750834620644e-02 2.288461182830790e-03
1.873817422860384e-02 2.688369919494176e-03
2.154434690031885e-02 3.186180726922686e-03
2.477076355991711e-02 3.808255904522733e-03
2.848035868435802e-02 4.588477603484312e-03
3.274549162877728e-02 5.570536740522324e-03
3.764935806792467e-02 6.810810879991578e-03
4.328761281083059e-02 8.382193898596913e-03
4.977023564332111e-02 1.037911076468247e-02
5.722367659350217e-02 1.292393514064521e-02
6.579332246575682e-02 1.617553290983366e-02
7.564633275546291e-02 2.033960317545867e-02
8.697490026177834e-02 2.568152812083036e-02
1.000000000000000e-01 3.253414020598319e-02
1.149756995397736e-01 4.129846746012799e-02
1.321941148466029e-01 5.241826457871974e-02
1.519911082952933e-01 6.632586794268602e-02
1.747528400007685e-01 8.335736768290582e-02
2.009233002565048e-01 1.036856990086841e-01
2.310129700083160e-01 1.273175671739691e-01
2.656087782946687e-01 1.541937050569269e-01
3.053855508833416e-01 1.849396298110269e-01
3.511191734215131e-01 2.240677785206732e-01
4.037017258596554e-01 2.707899727496644e-01
4.641588833612782e-01 3.263796616959229e-01
5.336699231206312e-01 3.819983262358979e-01
6.135907273413176e-01 4.375859959452237e-01
7.054802310718645e-01 4.945284556484139e-01
8.111308307896873e-01 5.552681805528813e-01
9.326033468832199e-01 6.223170452443239e-01
1.072267222010323e+00 6.979616425660714e-01
1.232846739442066e+00 7.843070521581808e-01
1.417474162926805e+00 8.827925620107495e-01
1.629750834620645e+00 9.954400157232476e-01
1.873817422860385e+00 1.123358576634239e+00
2.154434690031884e+00 1.267399870785825e+00
2.477076355991711e+00 1.427105545614952e+00
2.848035868435802e+00 1.602373119337868e+00
3.274549162877729e+00 1.791769432178084e+00
3.764935806792467e+00 1.992665296211028e+00
4.328761281083062e+00 2.202432341433369e+00
4.977023564332113e+00 2.417034603333517e+00
5.722367659350220e+00 2.633067764550918e+00
6.579332246575682e+00 2.845612051941655e+00
7.564633275546290e+00 3.052575667913260e+00
8.697490026177835e+00 3.249729889612307e+00
1.000000000000000e+01 3.435445162547081e+00
1.149756995397736e+01 3.607949206586924e+00
1.321941148466029e+01 3.766237481625456e+00
1.519911082952933e+01 3.910204297177705e+00
1.747528400007683e+01 4.039969425045721e+00
2.009233002565046e+01 4.155888277604241e+00
2.310129700083158e+01 4.259231260573252e+00
2.656087782946689e+01 4.349975182295557e+00
3.053855508833418e+01 4.428242909262603e+00
3.511191734215134e+01 4.503050694186991e+00
4.037017258596558e+01 4.566916983425193e+00
4.641588833612782e+01 4.622501773613960e+00
5.336699231206313e+01 4.670660420267874e+00
6.135907273413176e+01 4.712744691632928e+00
7.054802310718645e+01 4.749338511307199e+00
8.111308307896873e+01 4.781287977586646e+00
9.326033468832199e+01 4.809005676828706e+00
1.072267222010323e+02 4.833683310254511e+00
1.232846739442066e+02 4.854932633193149e+00
1.417474162926805e+02 4.873481130014227e+00
1.629750834620643e+02 4.889720384756282e+00
1.873817422860383e+02 4.903980484371942e+00
2.154434690031887e+02 4.916126903689367e+00
2.477076355991714e+02 4.926929872166746e+00
2.848035868435805e+02 4.936317784523914e+00
3.274549162877732e+02 4.945043936142957e+00
3.764935806792471e+02 4.951825314236040e+00
4.328761281083061e+02 4.958357569826274e+00
4.977023564332114e+02 4.963877296960339e+00
5.722367659350220e+02 4.968542323800051e+00
6.579332246575682e+02 4.972725245467918e+00
7.564633275546290e+02 4.976147207997833e+00
8.697490026177834e+02 4.979183332851489e+00
1.000000000000000e+03 4.981841124926109e+00
