1.060025848806882e+00 1.580796731865545e-14 5.010667190146855e-14 1.343179430764410e-13 4.566815397017596e-13 1.281412477173550e-12 4.737239246909397e-12 2.602879641133180e-11
1.191103133283007e+00 1.408970049589273e-14 4.471071291996880e-14 1.197676659914431e-13 4.091477085986622e-13 1.157763567722965e-12 4.366385613369240e-12 2.350802019231132e-11
1.338388753173757e+00 1.256180348036799e-14 3.987891056082533e-14 1.069019634094084e-13 3.664333663814792e-13 1.048738215742134e-12 3.966612960085533e-12 2.016146687675854e-11
1.503886946955410e+00 1.120591163150019e-14 3.558987534479488e-14 9.536314000014481e-14 3.298180587563609e-13 9.466211378708539e-13 3.844652272252356e-12 1.793369791758799e-11
1.689849786812457e+00 9.987313253078979e-15 3.169301213218860e-14 8.524073204795096e-14 2.950174690215976e-13 8.547132928084935e-13 3.252686894228085e-12 1.569755820264951e-11
1.898807824465263e+00 8.899162664541248e-15 2.826428306637383e-14 7.618302140420930e-14 2.646847899511365e-13 7.784793074248680e-13 2.971521469656010e-12 1.394093185072191e-11
2.133604526501411e+00 7.933355178378120e-15 2.522826195523132e-14 6.798061252270904e-14 2.384955962151455e-13 7.021602908396038e-13 2.758535129092372e-12 1.233109912711684e-11
2.397434967801077e+00 7.072060507364635e-15 2.250349467728796e-14 6.095817096394668e-14 2.149353780947725e-13 6.372518607800495e-13 2.627312881245566e-12 1.068036551897775e-11
2.693889309590172e+00 6.307438934608785e-15 2.007716831467458e-14 5.449232302115233e-14 1.941889479536644e-13 5.846871410303463e-13 2.499993449845669e-12 9.201168410957920e-12
3.027001653763462e+00 5.628218843839631e-15 1.797687786412247e-14 4.915267370135239e-14 1.769988021779876e-13 5.406503730803727e-13 2.452839694990846e-12 7.736148746163850e-12
3.401304938279252e+00 5.029407412985212e-15 1.616658168910730e-14 4.468057889965188e-14 1.627354669952881e-13 5.080378485534091e-13 2.342028115712397e-12 6.453202378989804e-12
3.821892620633119e+00 4.502364554746430e-15 1.461294751851141e-14 4.100762702175376e-14 1.511917640921305e-13 4.884041085610055e-13 2.196497290489595e-12 5.018645041092032e-12
4.294487988789275e+00 4.053006161233292e-15 1.332658782310163e-14 3.816095358100828e-14 1.426633588521016e-13 4.844504383502511e-13 2.084360916139155e-12 4.405718485625035e-12
4.825522042741277e+00 3.658569050177610e-15 1.229397062565959e-14 3.565814006480221e-14 1.370465771174292e-13 4.799045446799740e-13 1.717938559028742e-12 3.257252062466962e-12
5.422221006501588e+00 3.335716794874108e-15 1.136258752164342e-14 3.401877973490548e-14 1.373406191610202e-13 4.567685888605162e-13 1.559257767831692e-12 2.723670571804364e-12
6.092704661368677e+00 3.048685134061472e-15 1.060975377860816e-14 3.297771067094129e-14 1.390696447084674e-13 4.279447859867419e-13 1.390655886186693e-12 2.297701399955520e-12
6.846096838574658e+00 2.795745181549891e-15 9.972470534415326e-15 3.263532294683085e-14 1.348306050625790e-13 3.892933170648416e-13 1.170866173876267e-12 1.757706215285534e-12
7.692649574879142e+00 2.565934568283451e-15 9.492556773990080e-15 3.227003596801053e-14 1.254120828102218e-13 3.415711194096100e-13 1.053230019194108e-12 1.395242045745644e-12
8.643882620598268e+00 2.373862782012873e-15 9.140474198545849e-15 3.098442168138230e-14 1.133737003440278e-13 3.131175374677802e-13 9.360774088889508e-13 1.036049725114943e-12
9.712740198471170e+00 2.193376485906345e-15 8.763395025956185e-15 2.875459027979132e-14 1.017858067366852e-13 2.877603111221443e-13 8.400860990880571e-13 7.846764611318220e-13
1.091376714651273e+01 2.031756104066976e-15 8.334108663274287e-15 2.620927601615113e-14 9.139367633396359e-14 2.503057548064812e-13 7.481676509419674e-13 5.384402121128216e-13
1.226330684177563e+01 1.884956596734659e-15 7.823568654039081e-15 2.363873509391815e-14 8.395971264508413e-14 2.317025764371600e-13 6.859551881959300e-13 3.577213329837998e-13
1.377972359833557e+01 1.746396708540917e-15 7.244890789484105e-15 2.136590641370641e-14 7.839676322578959e-14 2.089531641389840e-13 6.005551621962640e-13 2.240777965527799e-13
1.548365256585498e+01 1.612276280508213e-15 6.633385752770588e-15 1.941280867481379e-14 7.337227806990991e-14 1.899260262751767e-13 4.971151657223055e-13 1.323579536060003e-13
1.739828052930364e+01 1.484439981984524e-15 6.081970828013912e-15 1.792519781030597e-14 6.564530437413431e-14 1.688520080709976e-13 4.078691903579228e-13 7.805525821935930e-14
1.954966143091260e+01 1.364894864742764e-15 5.581545190907001e-15 1.690368741584429e-14 5.857659163769524e-14 1.424362056485518e-13 3.215182150677015e-13 4.587059453012736e-14
2.196707090793234e+01 1.252441189642249e-15 5.199092430532690e-15 1.581241287517524e-14 5.186056499191072e-14 1.221027162203494e-13 2.607006874000612e-13 2.393652430879382e-14
2.468340467068649e+01 1.148460654565416e-15 4.861044923115483e-15 1.425772028836241e-14 4.452306626340461e-14 1.057416096606861e-13 2.027408676374826e-13 9.258491563860851e-15
2.773562614198413e+01 1.059957281445975e-15 4.532915301280379e-15 1.223696927675166e-14 3.787221288015753e-14 9.460002700716244e-14 1.587881999528299e-13 2.292568454224756e-15
3.116526944929430e+01 9.817778615850083e-16 4.128758243464690e-15 1.018752151027071e-14 3.245512344413766e-14 8.364566133700700e-14 1.225457964322820e-13 3.219439550253226e-16
3.501900461431709e+01 9.165311944024419e-16 3.603820631256205e-15 8.610366795315339e-15 2.901272267145750e-14 7.247643062584740e-14 9.080837275001969e-14 1.814626029432388e-17
