# Galaxy		Distance [Mpc]		SGB		SGL		L1:1	Lradio [10^38 erg s^-1]		Lγ [10^40 erg s^-1]
CenA		3.58904472785	-0.09161866613840000	2.788215534790000	1	260		11.2
ForA		20.9002276621	-0.67421014429000000	4.556095214690000	1	760		78.9
VirA		18.4364571174	-0.04097996409320000	1.795606436210000	1	830		27.8
NGC253		2.70000000000	-0.08784442386738060	4.739242043923120	1	1.0		0.8
M82 		3.60000000000	 0.01860274797885840	0.711282927813363	1	1.3		1.7
NGC4945 	4.00000000000	-0.17787366348157800	2.883664764710260	1	1.0		1.4
M83 		4.00000000000	 0.01760072158488890	2.581467149142410	1	0.4		1.0
IC342 		4.00000000000	 0.00609763576256292	0.185465659005585	1	0.5		0.4
NGC6946 	5.90000000000	 0.73339056986637800	0.175741771682861	1	0.7		0.5
NGC2903 	6.60000000000	-0.63658674212860100	1.282896791419650	1	0.7		0.9
NGC5055 	7.80000000000	 0.24853342872861100	1.330110137654650	1	0.6		1.1
NGC3628 	8.10000000000	-0.31713166945160700	1.675830333487170	1	1.0		1.8
NGC3627 	8.10000000000	-0.32178513587441800	1.686090774569300	1	0.7		2.0
NGC4631		8.70000000000	 0.10018041373947400	1.469513489260000	1	1.1		1.0
M51 		10.3000000000	 0.30174656382184300	1.242529277665050	1	1.2		2.9
NGC891 		11.0000000000	-0.08314804627534070	5.986154785210490	1	0.9		4.4
NGC3556 	11.4000000000	-0.01298225111202170	0.994615655964937	1	0.8		2.6
NGC660 		15.0000000000	-0.13102830346661600	5.461336800658340	1	0.9		5.8
NGC2146 	16.3000000000	 0.07268535619642180	0.429776137381546	1	4.1		15.4
NGC3079 	17.4000000000	-0.14857087885883400	0.890407696622586	1	5.0		5.7
NGC1068 	17.9000000000	-0.45117344359418900	5.310997846109860	1	17.8	17.7
NGC1365		22.3000000000	-0.71499051249827900	4.570397632781270	1	3.1		10.7
