1.060025848806882e+18 1.492380829615534e-32 4.748060975598734e-32 1.272578573704030e-31 4.397178319024818e-31 1.279408662190073e-30 5.064339326241219e-30 2.126168130019559e-29
1.191103133283007e+18 1.185880863325731e-32 3.763879033767113e-32 1.011483408477360e-31 3.508612526860319e-31 1.038336533112493e-30 4.026677666911632e-30 1.719152782932450e-29
1.338388753173757e+18 9.396661253030836e-33 2.985294441416098e-32 8.043522392643955e-32 2.804180145673209e-31 8.383051370285507e-31 3.127554585727512e-30 1.306526279856674e-29
1.503886946955410e+18 7.453256281816541e-33 2.370070388616269e-32 6.396098288722740e-32 2.248818720794153e-31 6.771197988229793e-31 2.565246852893144e-30 1.027600581425510e-29
1.689849786812457e+18 5.913052579564280e-33 1.881320819860943e-32 5.085507999790085e-32 1.796697609042111e-31 5.408268308912650e-31 1.875676496929799e-30 8.024331839228386e-30
1.898807824465263e+18 4.691473075199706e-33 1.493226979502314e-32 4.044203129280042e-32 1.435146021771256e-31 4.322104685228701e-31 1.469720400748365e-30 6.431075017527093e-30
2.133604526501411e+18 3.723011414391919e-33 1.186019086810693e-32 3.216498713213710e-32 1.149761215991536e-31 3.425813337081025e-31 1.212154215228043e-30 4.910183237527346e-30
2.397434967801077e+18 2.954186994062771e-33 9.424411237541465e-33 2.563586609615208e-32 9.238205308497844e-32 2.720719052617461e-31 1.004024916566450e-30 3.961913534956316e-30
2.693889309590172e+18 2.346380726756046e-33 7.503586917210785e-33 2.054587923450851e-32 7.488797358916000e-32 2.204142025827983e-31 8.547963228134944e-31 3.063878378599641e-30
3.027001653763462e+18 1.866362274573123e-33 6.004868233512627e-33 1.662966858545250e-32 6.152521026472896e-32 1.816117111479744e-31 7.352528187871469e-31 2.358664547077829e-30
3.401304938279252e+18 1.488598171027600e-33 4.837770495247330e-33 1.366235806830731e-32 5.115271574326063e-32 1.519833993927175e-31 6.151193908688065e-31 1.865455590406188e-30
3.821892620633119e+18 1.192643968813184e-33 3.939723792868736e-33 1.140714291542786e-32 4.304935538496892e-32 1.296518196094399e-31 5.222628530773308e-31 1.427347155120281e-30
4.294487988789275e+18 9.613853541315522e-34 3.250512454910502e-33 9.638650717320162e-33 3.639725304488903e-32 1.098286651490120e-31 4.291076487198716e-31 1.181957698895084e-30
4.825522042741278e+18 7.811938865656627e-34 2.714949538738591e-33 8.195055871452826e-33 3.073499639440497e-32 9.465030510850766e-32 3.205978705592858e-31 9.087483542137482e-31
5.422221006501588e+18 6.396735538622588e-34 2.289250402353679e-33 6.961392008910758e-33 2.611550667093868e-32 8.017259226349991e-32 2.531836290134193e-31 6.600227962526248e-31
6.092704661368677e+18 5.276170943533344e-34 1.933106359137796e-33 5.897662027451133e-33 2.217984317891810e-32 6.580772879731295e-32 2.000575675309899e-31 5.084858373789974e-31
6.846096838574658e+18 4.363787746370566e-34 1.622083994557770e-33 4.999695674307482e-33 1.888798573550690e-32 5.288504102213581e-32 1.587900618195388e-31 3.758235650247869e-31
7.692649574879142e+18 3.615799928680058e-34 1.355137740227692e-33 4.251964908128392e-33 1.568603912872254e-32 4.164688262360947e-32 1.220224585441503e-31 2.686832252889763e-31
8.643882620598268e+18 2.996734614233904e-34 1.128318798873501e-33 3.577765861384163e-33 1.273934302507186e-32 3.322413030492436e-32 9.376021612316359e-32 2.022183792211676e-31
9.712740198471170e+18 2.476401222748037e-34 9.395549410811546e-34 2.937645304294595e-33 1.017587669010424e-32 2.663469173117539e-32 7.392309667443705e-32 1.501972018397524e-31
1.091376714651273e+19 2.033004579348757e-34 7.784859168456698e-34 2.369082425390375e-33 8.131436602517517e-33 2.059293107553858e-32 5.779719873512668e-32 1.073814015141177e-31
1.226330684177563e+19 1.660595694061876e-34 6.396152885048790e-34 1.892218369414313e-33 6.508379756147775e-33 1.669549544506539e-32 4.759085718438988e-32 7.715662426937688e-32
1.377972359833557e+19 1.354099004424768e-34 5.211428651530126e-34 1.506473879647958e-33 5.231324692817103e-33 1.347168893051692e-32 3.816694906868807e-32 5.204227266079428e-32
1.548365256585498e+19 1.098216914827699e-34 4.213372187871589e-34 1.203423638883280e-33 4.221007523397577e-33 1.092264783522444e-32 2.919366955362130e-32 3.545260735706875e-32
1.739828052930364e+19 8.867095547671686e-35 3.384540537855346e-34 9.655812983175096e-34 3.421224573848496e-33 8.461387463735360e-33 2.497534740073982e-32 2.238536664827812e-32
1.954966143091260e+19 7.133241499547996e-35 2.719844540793017e-34 7.854014149884056e-34 2.778351613256373e-33 6.538545881384616e-33 2.210976975954359e-32 1.206903697886576e-32
2.196707090793234e+19 5.735478592601692e-35 2.200831287310030e-34 6.382761481106176e-34 2.144535725583023e-33 5.136410156190940e-33 1.895329673821008e-32 4.646136051387337e-33
2.468340467068649e+19 4.609590617169947e-35 1.789514522271648e-34 5.200254639691861e-34 1.638864492126758e-33 4.106380319864894e-33 1.529669481068960e-32 1.085504494774412e-33
2.773562614198413e+19 3.696334523048867e-35 1.457911008017071e-34 4.158399930193966e-34 1.266728004915460e-33 3.239516678832296e-33 1.127702818647524e-32 1.523575425919465e-34
3.116526944929430e+19 2.975138340070395e-35 1.184325033627068e-34 3.197643090219920e-34 9.968031011273424e-34 2.653283662807872e-33 7.528103696661227e-33 9.581812254103362e-36
3.501900461431709e+19 2.401802647550067e-35 9.513166680329894e-35 2.429324244184793e-34 7.815860256806528e-34 2.212508652259667e-33 4.881981399812482e-33 4.179184956045812e-37
