1.000000000000000e-03 2.780011276554576e-02
1.149756995397736e-03 2.782953011218755e-02
1.321941148466029e-03 2.786304364598464e-02
1.519911082952933e-03 2.790119725462739e-02
1.747528400007683e-03 2.794460348432647e-02
2.009233002565048e-03 2.799395243017899e-02
2.310129700083160e-03 2.805002181163816e-02
2.656087782946687e-03 2.811368870325431e-02
3.053855508833415e-03 2.818594315123678e-02
3.511191734215131e-03 2.826790402261627e-02
4.037017258596553e-03 2.836083756471875e-02
4.641588833612782e-03 2.846617905759432e-02
5.336699231206312e-03 2.858555830487507e-02
6.135907273413176e-03 2.872082944725429e-02
7.054802310718645e-03 2.887410608902590e-02
8.111308307896872e-03 2.904780364712302e-02
9.326033468832200e-03 2.924468679872075e-02
1.072267222010323e-02 2.946792967398594e-02
1.232846739442066e-02 2.972117490742335e-02
1.417474162926806e-02 3.000866699069337e-02
1.629750834620644e-02 3.033525367444295e-02
1.873817422860384e-02 3.070657374780028e-02
2.154434690031885e-02 3.112933265067188e-02
2.477076355991711e-02 3.161114733004454e-02
2.848035868435802e-02 3.216113944365824e-02
3.274549162877728e-02 3.278984821624210e-02
3.764935806792467e-02 3.351059489226400e-02
4.328761281083059e-02 3.433813415265095e-02
4.977023564332111e-02 3.529099882024750e-02
5.722367659350217e-02 3.639135458378534e-02
6.579332246575682e-02 3.766582132235999e-02
7.564633275546291e-02 3.914608649110805e-02
8.697490026177834e-02 4.087148483757411e-02
1.000000000000000e-01 4.289833589690043e-02
1.149756995397736e-01 4.533807411076572e-02
1.321941148466029e-01 4.844977839166549e-02
1.519911082952933e-01 5.281487838943061e-02
1.747528400007685e-01 5.965194734629413e-02
2.009233002565048e-01 7.131731355083178e-02
2.310129700083160e-01 9.188594358559420e-02
2.656087782946687e-01 1.276319148625696e-01
3.053855508833416e-01 1.875084352135326e-01
3.511191734215131e-01 2.838803944711507e-01
4.037017258596554e-01 4.323593425395491e-01
4.641588833612782e-01 6.501577429163842e-01
5.336699231206312e-01 9.554394848967624e-01
6.135907273413176e-01 1.368890394651798e+00
7.054802310718645e-01 1.915031411721795e+00
8.111308307896873e-01 2.622901455470553e+00
9.326033468832199e-01 3.525600612891501e+00
1.072267222010323e+00 4.659804472672483e+00
1.232846739442066e+00 6.063469804995400e+00
1.417474162926805e+00 7.776182669691342e+00
1.629750834620645e+00 9.835410790770354e+00
1.873817422860385e+00 1.227339290483856e+01
2.154434690031884e+00 1.511244038050519e+01
2.477076355991711e+00 1.836989241872859e+01
2.848035868435802e+00 2.203411946689942e+01
3.274549162877729e+00 2.608761088257537e+01
3.764935806792467e+00 3.048211824143302e+01
4.328761281083062e+00 3.515413701301945e+01
4.977023564332113e+00 4.002171532218536e+01
5.722367659350220e+00 4.499590045169040e+01
6.579332246575682e+00 4.998645835808578e+01
7.564633275546290e+00 5.490553536150757e+01
8.697490026177835e+00 5.966578574415578e+01
1.000000000000000e+01 6.420613329029858e+01
1.149756995397736e+01 6.847455688959255e+01
1.321941148466029e+01 7.244322353339336e+01
1.519911082952933e+01 7.608625766608232e+01
1.747528400007683e+01 7.939614554833645e+01
2.009233002565046e+01 8.239999700618462e+01
2.310129700083158e+01 8.508417952820382e+01
2.656087782946689e+01 8.748571720969765e+01
3.053855508833418e+01 8.959082929939092e+01
3.511191734215134e+01 9.153310633124849e+01
4.037017258596558e+01 9.322332290711978e+01
4.641588833612782e+01 9.470122294843289e+01
5.336699231206313e+01 9.599630080873088e+01
6.135907273413176e+01 9.712996276989534e+01
7.054802310718645e+01 9.812612798703630e+01
8.111308307896873e+01 9.899861766575758e+01
9.326033468832199e+01 9.976168652516002e+01
1.072267222010323e+02 1.004292540719074e+02
1.232846739442066e+02 1.010113839701836e+02
1.417474162926805e+02 1.015226831091631e+02
1.629750834620643e+02 1.019688372206997e+02
1.873817422860383e+02 1.023598475590644e+02
2.154434690031887e+02 1.026969457236539e+02
2.477076355991714e+02 1.029971434277988e+02
2.848035868435805e+02 1.032545331397008e+02
3.274549162877732e+02 1.034903982118551e+02
3.764935806792471e+02 1.036809606172697e+02
4.328761281083061e+02 1.038590459437603e+02
4.977023564332114e+02 1.040154649839273e+02
5.722367659350220e+02 1.041676575097432e+02
6.579332246575682e+02 1.042456346036323e+02
7.564633275546290e+02 1.043345606048343e+02
8.697490026177834e+02 1.044157600223099e+02
1.000000000000000e+03 1.045024476115324e+02
